item_en,item_ur
Wheat Flour Bag 20 Kg,آٹا (20 کلو کی تھیلی)
Wheat Flour Loose 1 Kg,کھلا آٹا (1 کلو)
Rice Basmati Broken,بسمتی چاول (ٹوٹے)
Rice IRRI-6,چاول آئی آر آر آئی-6
Bread Plain (Medium),ڈبل روٹی (درمیانہ)
Chapati Plain,روٹی (سادہ)
Milk Fresh,تازہ دودھ
Milk Powdered (Tin),دودھ پاؤڈر (ٹن)
Curd,دہی
Butter Packaged,مکھن (پیک)
Cooking Oil Branded 5 Litre Tin,کھانا پکانے کا تیل (5 لیٹر ٹن)
Vegetable Ghee Branded 2.5 Kg Tin,نباتاتی گھی (2.5 کلو ٹن)
Cooking Oil Loose,کھلا تیل
Chicken Farm Broiler Live,فارم مرغی (زندہ)
Chicken Farm Broiler Dressed,فارم مرغی (صاف شدہ)
Eggs Farm,فارم انڈے
Beef With Bone,گائے کا گوشت (ہڈی سمیت)
Mutton With Bone,بھیڑ بکری کا گوشت (ہڈی سمیت)
Onions,پیاز
Tomatoes,ٹماٹر
Potatoes,آلو
Garlic,لہسن
Ginger,ادرک
Peas,مٹر
Carrots,گاجر
Spinach,پالک
Bananas,کیلا
Apples Kala Kulu,سیب (کالا کولو)
Oranges Malta,مالٹا
Sugar Refined,چینی (رفائنڈ)
Gur,گڑ
Tea Packet Branded,چائے (پیکٹ)
Tea Loose Imported,کھلی چائے (دانہ‌دار)
Salt Iodised,آیوڈائزڈ نمک
Red Chillies Powder,لال مرچ پاؤڈر
Turmeric Powder,ہلدی پاؤڈر
Cumin White Powder,سفید زیرہ پاؤڈر
Gram Flour Besan,بیسن
Pulse Gram Washed,دال چنہ (دھلی)
Pulse Moong Washed,دال مونگ (دھلی)
Pulse Mash Washed,دال ماش (دھلی)
Pulse Masoor Washed,دال مسور (دھلی)
Pulse White Gram Kabuli,کابلی چنہ
Match Box,ماچس
Toilet Soap Branded 115 gm,نہانے کا صابن (برانڈڈ)
Detergent Branded 1 Kg,ڈٹرجنٹ (برانڈڈ)
Petrol Super,پیٹرول (سپر)
Diesel Hi Speed,ڈیزل (ہائی اسپیڈ)
Kerosene Oil,کیروزین تیل
Electricity Charges Per Unit,بجلی کا چارج (فی یونٹ اوسط)
Gas Charges,گیس چارجز
Cell Phone Charges,موبائل فون چارجز
Cooked Beef Plate,گائے کا گوشت (پلیٹ)
Tea Cup (Hotel),چائے (کپ)
Gents Chappal,چپل (مردانہ)
Cloth Printed Cotton,کپڑا (پرنٹڈ کاٹن)
LPG Cylinder 11.8 Kg,ایل پی جی سلنڈر (11.8 کلو)
